Business Name,Website,Phone Number,status
Brauerei Jöris,https://www.gelbeseiten.de/gsbiz/851b84c8-39b4-4f10-b208-551e536f2812,0170 1 90 20 12,valid
Zwölf Apostel,https://www.gelbeseiten.de/gsbiz/ee4d4c15-30e8-4733-80bc-0a1107c94599,0211 34 26 49,valid
Das Weiss Blaue Haus,https://www.gelbeseiten.de/gsbiz/b3d739a4-046c-46ba-bee4-e9bd9d988e87,0211 48 88 00,valid
Kavala Restaurant,https://www.gelbeseiten.de/gsbiz/1f293154-87bb-440d-9986-a69aae7e8188,0211 7 33 21 31,valid
Poularde,https://www.gelbeseiten.de/gsbiz/5e2a08d4-ae32-42fa-a0a2-5c16ac5b8c7b,0211 44 60 36,valid
Le Bouchon,https://www.gelbeseiten.de/gsbiz/c6c57f67-6a80-445d-a8ab-2d5445db77d7,0211 97 71 34 17,valid
Gaststätte Poseidon Gastronomie,https://www.gelbeseiten.de/gsbiz/5501d510-18ac-4c8a-9dd1-c416e43e849d,0211 9 75 47 30,valid
Zur Alten Post,https://www.gelbeseiten.de/gsbiz/96361278-1158-47a9-b861-1069a6c87edc,02132 46 51,valid
"Brauerei und Wirtschaft ""Im Füchschen"" Peter König e.K.",https://www.gelbeseiten.de/gsbiz/b0d96219-3b61-4603-9f70-34c31b41025f,0211 1 37 47-0,valid
Zum Goldenen Einhorn,https://www.gelbeseiten.de/gsbiz/c456d9c9-6c36-484d-9568-ad7adbc6c304,0211 8 36 82 77,valid
Deutsche Oper am Rhein (Zentrale),https://www.gelbeseiten.de/gsbiz/a38c30a8-1413-4fab-abc2-0a7510a8f2a1,0211 89-2 52 10,valid
Eiscafe Pia,https://www.gelbeseiten.de/gsbiz/38375cfa-b9a8-4e35-979b-c89f38fac5c7,0211 32 62 33,valid
"Schiffchen, Brauerei Zum Schiffchen",https://www.gelbeseiten.de/gsbiz/8fb6b1c1-c25d-42a2-9e5a-844f8afcdd83,0211 13 24 22,valid
Münstermann`s Kontor Restaurant,https://www.gelbeseiten.de/gsbiz/df614cda-092e-41ee-9007-5c3c4117918b,0211 1 30 04-16,valid
Restaurant Kö59 -masterminded by Björn Freitag- im InterContinental Hotel Düsseldorf,https://www.gelbeseiten.de/gsbiz/2446a014-d3ff-4da6-84dc-fcd0df99ed43,0211 82 85-12 20,valid
Restaurant Ponte Vecchio,https://www.gelbeseiten.de/gsbiz/f9e61d53-036e-49e1-b72d-4b87b5fc4ff7,0211 32 97 15,valid
"Zur Uel, Sudhoff Hartmut",https://www.gelbeseiten.de/gsbiz/f7c3a875-39c1-4cd2-94c4-a90b0cd42507,0211 32 53 69,valid
Dä Spiegel Peter Klinkhammer,https://www.gelbeseiten.de/gsbiz/7bbe2e48-a909-4314-8cda-811a456dd95e,0211 3 23 74 90,valid
Tonhalle Düsseldorf Konzertkasse,https://www.gelbeseiten.de/gsbiz/49abbbd8-7a90-420a-ae60-4d7f9c7117e1,0211 89-9 61 23,valid
D.E. Gastrobetriebs GmbH,https://www.gelbeseiten.de/gsbiz/9a2d32c7-d8e2-4c04-8d99-566d88633f31,0211 1 36 57 33,valid
D.E. Gastrobetriebs GmbH,https://www.gelbeseiten.de/gsbiz/13822db3-dba2-439c-8756-2a3af8514bea,0211 1 36 57 44,valid
D.E. Gastrobetriebs GmbH,https://www.gelbeseiten.de/gsbiz/e67da173-9cdd-4864-8b52-bfdc056e4b48,0211 1 36 57 55,valid
Buster Pasta,https://www.gelbeseiten.de/gsbiz/1d63c9ee-f883-44db-b62c-ef431da87deb,0211 86 04 60 70,valid
Yatana,https://www.gelbeseiten.de/gsbiz/e8b9606b-eac8-4da4-8e3a-bf1a83bd13e9,0211 93 65 00 34,valid
Gelo-Sia,https://www.gelbeseiten.de/gsbiz/f3578b25-fa46-4933-8338-58ee7f2048ee,0211 59 87 20 25,valid
Lieblings GmbH,https://www.gelbeseiten.de/gsbiz/a43a6c6e-173b-4777-bf5f-84f2b7bab9c6,0211 6 00 11 41,valid
Pizzeria Ristorante Matteo,https://www.gelbeseiten.de/gsbiz/baf28949-bc5d-4cb5-b66e-1174e6cab3a0,0211 87 63 88 50,valid
Restaurant Rossini GmbH,https://www.gelbeseiten.de/gsbiz/18437a4e-bc6b-4fc0-8331-89812fe7744a,0211 49 49 94,valid
Teppanyaki,https://www.gelbeseiten.de/gsbiz/dae14cc7-0034-4caf-9461-0bcb448060ed,0211 83 40,valid
Vente Restaurant,https://www.gelbeseiten.de/gsbiz/7908e4a4-6b21-4213-9f87-1988eabdef52,0211 5 66 90 63,valid
What's Beef Friendchise GmbH,https://www.gelbeseiten.de/gsbiz/bea5ceee-99e3-4347-990c-314c3942656b,0211 36 77 91 96,valid
Marli Weinbar-Restaurant Restaurant,https://www.gelbeseiten.de/gsbiz/89ffbdca-4a60-47af-8e25-f7458709569c,0211 5 98 47 74,valid
Destille,https://www.gelbeseiten.de/gsbiz/9cd6f81c-2eb4-4210-9893-043fdd32ba7f,0211 32 71 81,valid
Alchemist Düsseldorf UG,https://www.gelbeseiten.de/gsbiz/7245f6e5-de43-4a4d-9cae-78358fc92e34,0211 30 03 56 60,valid
Subway,https://www.gelbeseiten.de/gsbiz/751d906c-06a0-4f9d-8d8d-d495c32de299,0211 4 95 71 42,valid
Casita Mexicana,https://www.gelbeseiten.de/gsbiz/3bc7e2f5-350f-4519-8d0d-707d30ae9df1,0211 86 81 38 58,valid
Kentucky Fried Chicken,https://www.gelbeseiten.de/gsbiz/fb626b81-d90a-4b9a-9ff5-a2cd6e0ec52f,0211 86 32 92 54,valid
lili`s Bar,https://www.gelbeseiten.de/gsbiz/bfe30d8d-5a38-4a79-8b9a-af640fe04b8e,0211 15 77 76 35,valid
Qomo Restaurant Bar,https://www.gelbeseiten.de/gsbiz/c6d11dd0-cecb-4bb7-a261-12949f867d86,0211 86 32 00 18,valid
Restaurant Menta Restaurant,https://www.gelbeseiten.de/gsbiz/35f632f9-8597-46cf-a9de-c4236f1dbacb,0211 9 30 44 83,valid
Block House,https://www.gelbeseiten.de/gsbiz/c52dbbe0-3aca-4dae-bd1f-07a66e11120d,0211 30 13 79 09,valid
Palazzo,https://www.gelbeseiten.de/gsbiz/a75b46e7-df90-47b0-8011-747556afd977,0211 93 65 27 48,valid
Pizzeria El Greco,https://www.gelbeseiten.de/gsbiz/52ef72b6-d86a-4ae0-8588-c2302d041084,0211 36 47 45,valid
Walter Rocco Pizzeria und Eiscafe Pizzeria Adria,https://www.gelbeseiten.de/gsbiz/4658724d-fc96-4fc1-beb9-9c2955446d72,0211 38 38 32,valid
Atavola GmbH,https://www.gelbeseiten.de/gsbiz/b75f364e-a357-4f37-b5f2-fc28827abc1f,0211 13 29 23,valid
Philosoph Cafébar,https://www.gelbeseiten.de/gsbiz/09f1419c-5cac-4d9f-815f-5301db4cc00d,0211 3 88 53 90,valid
Pizzeria NERO,https://www.gelbeseiten.de/gsbiz/e746a774-a765-4d5c-b6ad-36a9c55218bf,0211 36 18 28 80,valid
REWE To Go,https://www.gelbeseiten.de/gsbiz/1cea5103-fe3f-46df-b556-6fae999c4186,0211 36 77 91 68,valid
The Paris Club,https://www.gelbeseiten.de/gsbiz/570ed3a4-a4dd-4d8e-b111-7061ab349cbe,0211 9 00 91 02 63,valid
